"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-01-01,2026-02-18,"NEW - Watched 10 Secs Past Year - Announcement - Short (ESM Site) - Copy",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Engaged in IG Past Year - Keaton Testimonial (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Coaches/Consultants (A+) - Announcement - Short (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Web. Vis. Past 6 Months - Brad Lea - Short (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Event Plan. - Eng. Shop. - Brad Lea - Short (VSL Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Event Planners - Announcement - Short (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Event Planners - Mastermind Reel (VSL Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Event Planners (A+) - Mastermind Reel (VSL Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Event Planners - Pace Morby (VSL Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Event Planners - Announcement Short #2 (VSL Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Untargeted FL - Keaton Testimonial (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - All Audiences - Sam T. Testimonial (Calender)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Entrepreneurs  - Pace Morby (VSL Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Untargeted FL - Pace Morby (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Untargeted - Pace Morby (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Coaches/Consultants - Announcement - Short (ESM Site) - Copy",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB [LEAD]- Entrepreneur - S/R ONLY - C Vid #1 - Blue (ESM Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - Event Planners (USA) - Value #1 - B - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - Event Planners (USA) - Value #1 - Y - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - Event Planners (USA) A+ - Value #1 - Y - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - Event Planners (USA) A+ - Value #1 - B - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - Entreprenuers (USA) - Value #1 - B - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #14: Website Visitors (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - Web. Vis. (180 Days) - Keaton Testimonial (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
