"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-01-01,2026-02-18,Shanda,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,62,1,,12,Daily,3.21,Ongoing,-,-,-,62,51.774194,,,,,0,0,0,,
2026-01-01,2026-02-18,"Sam Taggart",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,92,1.032609,,12,Daily,5.18,Ongoing,-,-,-,95,54.526316,,,,,0,0,0,,
2026-01-01,2026-02-18,"Sizzle Testimonials - Longer",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,439,1.063781,,12,Daily,22.76,Ongoing,-,-,-,467,48.736617,5,,4.552,1.070664,8,1.713062,2.845,4,5.69
2026-01-01,2026-02-18,"Storm Leroy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,15,1,,12,Daily,0.37,Ongoing,-,-,-,15,24.666667,,,,,0,0,0,,
2026-01-01,2026-02-18,"Image - Event Rescue Team",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.custom.1272107968054324,3335,1.511844,119.14,18,Daily,119.14,Ongoing,Average,-,-,5042,23.629512,43,,2.770698,0.852836,65,1.289171,1.832923,27,4.412593
2026-01-01,2026-02-18,"Tiffany Lyons - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.custom.1272107968054324,7684,1.682847,90.0775,12,Daily,360.31,Ongoing,-,-,-,12931,27.864048,121,,2.977769,0.935736,236,1.825072,1.526737,96,3.753229
2026-01-01,2026-02-18,"Old Top Image",not_delivering,-,,,0,0,,45,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"New Image #2",not_delivering,-,,,0,0,,20,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Video #2",not_delivering,-,,,0,0,,20,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"AI Ad #6",not_delivering,-,,,0,0,,25,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"AI Ad #8",not_delivering,-,,,0,0,,40,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Ad #2 - STOP promoting your event like it's 2010",not_delivering,-,,,0,0,,10,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Ad #1 - Leads coming in...",not_delivering,-,,,0,0,,5,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Ad #2 - STOP promoting your event like it's 2010",inactive,"7-day click or 1-day view",1,actions:leadgen.other,378,1.119048,26.2,10,Daily,26.2,Ongoing,-,-,-,423,61.938534,6,,4.366667,1.41844,9,2.12766,2.911111,,
2026-01-01,2026-02-18,"David Testimonial",not_delivering,-,,,0,0,,5,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Ajay Testimonial",inactive,-,,,0,0,,5,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Sam Taggert",not_delivering,-,,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Tiffany Lyons",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,1166,1.425386,,10,Daily,41.85,Ongoing,-,-,-,1662,25.180505,18,,2.325,1.083032,32,1.925391,1.307813,15,2.79
